# https://explorer.zel.cash/ and whois results
# Zel
IP Address|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Payment Address|Publice Key
121.226.19.110:16197||||||||
121.226.19.245||||||||
121.226.19.245:16137||||||||
121.226.19.245:16147||||||||
121.226.19.245:16157||||||||
121.226.19.245:16167||||||||
121.226.19.245:16177||||||||
121.226.19.245:16187||||||||
121.226.19.245:16197||||||||
121.226.19.85||||||||
121.226.19.85:16137||||||||
121.226.19.85:16147||||||||
121.226.19.85:16157||||||||
121.226.19.85:16167||||||||
121.226.19.85:16177||||||||
121.226.19.85:16187||||||||
121.226.19.85:16197||||||||
121.232.104.204||||||||
121.232.104.86||||||||
121.232.104.86:16137||||||||
121.232.104.86:16147||||||||
121.232.104.86:16157||||||||
121.232.104.86:16167||||||||
121.232.104.86:16177||||||||
121.232.104.86:16187||||||||
121.232.104.86:16197||||||||
121.232.107.200||||||||
121.232.107.200:16137||||||||
121.232.107.200:16147||||||||
121.232.107.200:16157||||||||
121.232.107.200:16167||||||||
121.232.107.200:16177||||||||
121.232.107.200:16187||||||||
121.232.107.200:16197||||||||
121.232.52.100||||||||
121.232.52.100:16137||||||||
121.232.52.100:16147||||||||
121.232.52.100:16157||||||||
121.232.52.100:16167||||||||
121.232.52.100:16177||||||||
121.232.52.100:16187||||||||
121.232.52.100:16197||||||||
121.232.52.157||||||||
121.232.52.157:16137||||||||
121.232.52.157:16147||||||||
121.232.52.157:16157||||||||
121.232.52.157:16167||||||||
121.232.52.157:16177||||||||
121.232.52.157:16187||||||||
121.232.52.157:16197||||||||
121.232.52.85||||||||
121.232.52.85:16137||||||||
121.232.52.85:16147||||||||
121.232.52.85:16157||||||||
121.232.52.85:16167||||||||
121.232.52.85:16177||||||||
121.232.52.85:16187||||||||
121.232.52.85:16197||||||||
121.232.53.218||||||||
121.232.53.218:16137||||||||
121.232.53.218:16147||||||||
121.232.53.218:16157||||||||
121.232.53.218:16167||||||||
121.232.53.218:16177||||||||
121.232.53.218:16187||||||||
121.232.53.218:16197||||||||
121.232.53.50||||||||
121.232.53.50:16137||||||||
121.232.53.50:16147||||||||
121.232.53.50:16157||||||||
121.232.53.50:16167||||||||
121.232.53.50:16177||||||||
121.232.53.50:16187||||||||
121.232.53.50:16197||||||||
121.232.54.212||||||||
121.232.54.212:16137||||||||
121.232.54.212:16147||||||||
121.232.54.212:16157||||||||
121.232.54.212:16167||||||||
121.232.54.212:16177||||||||
121.232.54.212:16187||||||||
121.232.54.212:16197||||||||
121.45.251.109||||||||
121.7.230.251||||||||
122.105.127.13||||||||
122.11.135.107:16187||||||||
122.11.135.107:16197||||||||
122.148.187.7|9443|122.148.0.0/16|AU|apnic|2007-01-05|VOCUS-RETAIL-AU Vocus Retail, AU|t1XH8DP6Ukd7oEZvZxBzuiMSVvML39iXiLj|04cb5995ffafb5f9bb7c254516d3d41f9882795cbd6ae331eb249a76a736ef8a71c89f9996a099a797bff3055730f713c74ace041c600317d1e3c7f19252bc9c86
122.151.165.66||||||||
122.160.36.177||||||||
122.199.23.141||||||||
122.53.38.97||||||||
122.58.111.21||||||||
122.58.111.21:16167||||||||
122.58.111.21:16187||||||||
123.172.51.77|4134|123.172.0.0/15|CN|apnic|2007-02-28|CHINANET-BACKBONE No.31,Jin-rong Street, CN|t1WacDAXPJXyMEqG7fo69ZzyMqnyBnp4WJL|04600365ba060f02963c23ac03fdfdcd55084428374bc39dcef0b0cee170913de3b26b2505abc8100a209442af396eb651d37fbf366a2c4edd8d5e3fe9c8c780a6
123.172.51.77:16137|4134|123.172.0.0/15|CN|apnic|2007-02-28|CHINANET-BACKBONE No.31,Jin-rong Street, CN|t1WacDAXPJXyMEqG7fo69ZzyMqnyBnp4WJL|04600365ba060f02963c23ac03fdfdcd55084428374bc39dcef0b0cee170913de3b26b2505abc8100a209442af396eb651d37fbf366a2c4edd8d5e3fe9c8c780a6
123.172.51.77:16147|4134|123.172.0.0/15|CN|apnic|2007-02-28|CHINANET-BACKBONE No.31,Jin-rong Street, CN|t1WacDAXPJXyMEqG7fo69ZzyMqnyBnp4WJL|04600365ba060f02963c23ac03fdfdcd55084428374bc39dcef0b0cee170913de3b26b2505abc8100a209442af396eb651d37fbf366a2c4edd8d5e3fe9c8c780a6
123.172.51.77:16157||||||||
123.172.51.77:16167||||||||
123.172.51.77:16177|4134|123.172.0.0/15|CN|apnic|2007-02-28|CHINANET-BACKBONE No.31,Jin-rong Street, CN|t1WacDAXPJXyMEqG7fo69ZzyMqnyBnp4WJL|04600365ba060f02963c23ac03fdfdcd55084428374bc39dcef0b0cee170913de3b26b2505abc8100a209442af396eb651d37fbf366a2c4edd8d5e3fe9c8c780a6
123.172.51.77:16187||||||||
123.172.51.77:16197||||||||
123.97.49.232:16187||||||||
123.97.49.232:16197||||||||
124.120.30.223||||||||
124.244.242.148||||||||
124.248.134.137||||||||
125.209.167.86||||||||
125.228.117.231||||||||
125.228.117.231:16137||||||||
125.228.117.231:16147||||||||
125.228.117.231:16157||||||||
125.228.117.231:16167||||||||
125.228.117.231:16177||||||||
125.228.117.231:16187||||||||
125.228.117.231:16197||||||||
125.228.238.230||||||||
125.228.238.230:16137||||||||
125.228.238.231||||||||
125.228.238.231:16157||||||||
125.229.48.122||||||||
13.59.214.154||||||||
130.185.118.178||||||||
131.93.99.49||||||||
134.101.168.39||||||||
134.41.152.99||||||||
134.41.53.4||||||||
135.125.163.133:16177||||||||
135.125.163.133:16187||||||||
135.125.163.133:16197||||||||
135.148.14.160||||||||
135.148.14.161||||||||
135.148.14.162||||||||
135.148.14.163||||||||
135.180.94.100||||||||
135.180.94.100:16197||||||||
135.181.104.197||||||||
135.181.104.61||||||||
135.181.104.82||||||||
135.181.107.100||||||||
135.181.108.185||||||||
135.181.108.205||||||||
135.181.109.165||||||||
135.181.110.30||||||||
135.181.114.220:16177||||||||
135.181.114.220:16187||||||||
